Grupo Etario A|CIE-10|_resultado|_k|Unnamed: 4
D|H52.0|OFTALMOLOGIA|2.0|
D|H52.1|OFTALMOLOGIA|1.0|
D|H52.2|OFTALMOLOGIA|2.0|
D|H52.3|OFTALMOLOGIA|1.0|
D|H52.4|OFTALMOLOGIA|2.0|
D|H52.5|OFTALMOLOGIA|1.0|
D|H52.6|OFTALMOLOGIA|2.0|
D|H52.7|OFTALMOLOGIA|2.0|
D|H81.0|OTORRINOLARINGOLOGIA|1.0|
D|H81.1|MF|0.0|
D|H81.2|OTORRINOLARINGOLOGIA|2.0|
D|H81.3|MF|0.0|
D|H81.4|NEUROLOGIA|1.0|
D|H81.8|OTORRINOLARINGOLOGIA|1.0|
D|H81.9|OTORRINOLARINGOLOGIA|1.0|
D|H93.0|OTORRINOLARINGOLOGIA|1.0|
D|H93.1|OTORRINOLARINGOLOGIA|2.0|
D|H93.2|OTORRINOLARINGOLOGIA|1.0|
D|H93.3|OTORRINOLARINGOLOGIA|1.0|
D|H93.8|OTORRINOLARINGOLOGIA|1.0|
D|H93.9|OTORRINOLARINGOLOGIA|5.0|
D|I10|MF|0.0|
D|I11.0|CARDIOLOGIA|1.0|
D|I11.9|MF|0.0|
D|I83.0|CIRUGIA VASCULAR|2.0|
D|I83.1|CIRUGIA VASCULAR|3.0|
D|I83.2|CIRUGIA VASCULAR|2.0|
D|I83.9|MF|0.0|
D|I84.0|GASTROENTEROLOGIA|1.0|
D|I84.1|GASTROENTEROLOGIA|1.0|
D|I84.2|MF|0.0|
D|I84.3|CIRUGIA GENERAL|1.0|
D|I84.4|GASTROENTEROLOGIA|1.0|
D|I84.5|GASTROENTEROLOGIA|1.0|
D|I84.6|MG|0.0|
D|I84.7|CIRUGIA GENERAL|1.0|
D|I84.8|GASTROENTEROLOGIA|1.0|
D|I84.9|MF|0.0|
D|I87.0|CIRUGIA VASCULAR|2.0|
D|I87.1|CIRUGIA VASCULAR|1.0|
D|I87.2|CIRUGIA VASCULAR|5.0|
D|I87.8|CIRUGIA VASCULAR|2.0|
D|I87.9|MF|0.0|
D|J00|MG|0.0|
D|J02.0|MG|0.0|
D|J02.8|MG|0.0|
D|J02.9|MG|0.0|
D|J03.0|MG|0.0|
D|J03.8|MG|0.0|
D|J03.9|MG|0.0|
D|J06.0|MG|0.0|
D|J06.8|MG|0.0|
D|J06.9|MG|0.0|
D|J20.0|MF|0.0|
D|J20.1|MG|0.0|
D|J20.2|MG|0.0|
D|J20.4|MG|0.0|
D|J20.6|MG|0.0|
D|J20.8|MG|0.0|
D|J20.9|MG|0.0|
D|J30.0|MF|0.0|
D|J30.1|MG|0.0|
D|J30.2|MG|0.0|
D|J30.3|MG|0.0|
D|J30.4|MG|0.0|
D|J31.0|MG|0.0|
D|J31.1|MG|0.0|
D|J31.2|MG|0.0|
D|J34.0|OTORRINOLARINGOLOGIA|1.0|
D|J34.1|OTORRINOLARINGOLOGIA|1.0|
D|J34.2|OTORRINOLARINGOLOGIA|1.0|
D|J34.3|OTORRINOLARINGOLOGIA|2.0|
D|J34.8|OTORRINOLARINGOLOGIA|3.0|
D|J45.0|MF|0.0|
D|J45.1|MG|0.0|
D|J45.8|MG|0.0|
D|J45.9|MG|0.0|
D|K30|MG|0.0|
D|K21.0|GASTROENTEROLOGIA|1.0|
D|K21.9|GASTROENTEROLOGIA|2.0|
D|K29.0|GASTROENTEROLOGIA|1.0|
D|K29.1|MF|0.0|
D|K29.3|MG|0.0|
D|K29.4|GASTROENTEROLOGIA|1.0|
D|K29.5|MG|0.0|
D|K29.6|MF|0.0|
D|K29.7|MF|0.0|
D|K29.8|GASTROENTEROLOGIA|2.0|
D|K29.9|GASTROENTEROLOGIA|3.0|
D|K40.0|CIRUGIA GENERAL|1.0|
D|K40.1|CIRUGIA GENERAL|1.0|
D|K40.2|CIRUGIA GENERAL|1.0|
D|K40.3|CIRUGIA GENERAL|1.0|
D|K40.4|CIRUGIA GENERAL|1.0|
D|K40.9|CIRUGIA GENERAL|1.0|
D|K42.0|CIRUGIA GENERAL|1.0|
D|K42.1|CIRUGIA GENERAL|1.0|
D|K42.9|CIRUGIA GENERAL|1.0|
D|K59.0|MG|0.0|
D|K59.1|MF|0.0|
D|K59.2|GASTROENTEROLOGIA|1.0|
D|K59.3|GASTROENTEROLOGIA|5.0|
D|K59.4|GASTROENTEROLOGIA|1.0|
D|K59.8|MG|0.0|
D|K59.9|MG|0.0|
D|K76.0|MF|0.0|
D|K76.1|GASTROENTEROLOGIA|1.0|
D|K76.5|GASTROENTEROLOGIA|1.0|
D|K76.6|GASTROENTEROLOGIA|1.0|
D|K76.8|GASTROENTEROLOGIA|3.0|
D|K76.9|MF|0.0|
D|K80.0|CIRUGIA GENERAL|1.0|
D|K80.1|CIRUGIA GENERAL|1.0|
D|K80.2|CIRUGIA GENERAL|3.0|
D|K80.3|GASTROENTEROLOGIA|1.0|
D|K80.4|GASTROENTEROLOGIA|1.0|
D|K80.5|CIRUGIA GENERAL|1.0|
D|K80.8|CIRUGIA GENERAL|2.0|
D|K81.0|CIRUGIA GENERAL|1.0|
D|K81.1|CIRUGIA GENERAL|2.0|
D|K81.8|CIRUGIA GENERAL|2.0|
D|K81.9|CIRUGIA GENERAL|1.0|
D|L30.0|DERMATOLOGIA|1.0|
D|L30.1|DERMATOLOGIA|2.0|
D|L30.2|DERMATOLOGIA|1.0|
D|L30.3|MF|0.0|
D|L30.4|DERMATOLOGIA|5.0|
D|L30.5|MF|0.0|
D|L30.8|MF|0.0|
D|L30.9|MG|0.0|
D|M05.1|REUMATOLOGIA|1.0|
D|M05.2|REUMATOLOGIA|1.0|
D|M05.3|REUMATOLOGIA|1.0|
D|M05.8|REUMATOLOGIA|1.0|
D|M05.9|REUMATOLOGIA|1.0|
D|M15.0|REUMATOLOGIA|1.0|
D|M15.1|REUMATOLOGIA|1.0|
D|M15.2|REUMATOLOGIA|1.0|
D|M15.3|REUMATOLOGIA|2.0|
D|M15.4|REUMATOLOGIA|1.0|
D|M15.8|REUMATOLOGIA|1.0|
D|M15.9|MF|0.0|
D|M17.0|ORTOPEDIA Y TRAUMATOLOGIA|2.0|
D|M17.1|ORTOPEDIA Y TRAUMATOLOGIA|2.0|
D|M17.2|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|M17.3|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|M17.4|ORTOPEDIA Y TRAUMATOLOGIA|2.0|
D|M17.5|MG|0.0|
D|M17.9|ORTOPEDIA Y TRAUMATOLOGIA|3.0|
D|M19.0|MF|0.0|
D|M19.1|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|M19.2|ORTOPEDIA Y TRAUMATOLOGIA|5.0|
D|M19.8|MF|0.0|
D|M19.9|MG|0.0|
D|M23.0|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|M23.1|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|M23.2|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|M23.3|ORTOPEDIA Y TRAUMATOLOGIA|2.0|
D|M23.4|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|M23.5|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|M23.6|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|M23.8|ORTOPEDIA Y TRAUMATOLOGIA|2.0|
D|M23.9|ORTOPEDIA Y TRAUMATOLOGIA|2.0|
D|M25.0|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|M25.2|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|M25.3|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|M25.4|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|M25.5|MG|0.0|
D|M25.6|MG|0.0|
D|M25.7|MG|0.0|
D|M25.8|MF|0.0|
D|M25.9|ORTOPEDIA Y TRAUMATOLOGIA|2.0|
D|M41.2|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|M41.3|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|M41.4|ORTOPEDIA Y TRAUMATOLOGIA|2.0|
D|M41.5|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|M41.8|MEDICINA FISICA Y REHABILITACION|2.0|
D|M41.9|MEDICINA FISICA Y REHABILITACION|5.0|
D|M51.0|NEUROLOGIA|1.0|
D|M51.1|NEUROCIRUGIA|1.0|
D|M51.2|NEUROCIRUGIA|1.0|
D|M51.3|NEUROCIRUGIA|5.0|
D|M51.4|MEDICINA INTERNA|1.0|
D|M51.8|NEUROLOGIA|1.0|
D|M51.9|NEUROLOGIA|2.0|
D|M54.0|MEDICINA INTERNA|1.0|
D|M54.1|NEUROLOGIA|2.0|
D|M54.2|MG|0.0|
D|M54.3|NEUROLOGIA|3.0|
D|M54.4|NEUROLOGIA|2.0|
D|M54.5|MG|0.0|
D|M54.6|MG|0.0|
D|M54.8|MG|0.0|
D|M54.9|MG|0.0|
D|M62.0|CIRUGIA GENERAL|1.0|
D|M62.1|MEDICINA INTERNA|1.0|
D|M62.4|MG|0.0|
D|M62.5|MF|0.0|
D|M62.6|MG|0.0|
D|M62.8|MF|0.0|
D|M62.9|MF|0.0|
D|M65.1|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|M65.2|MEDICINA FISICA Y REHABILITACION|2.0|
D|M65.3|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|M65.4|MEDICINA FISICA Y REHABILITACION|2.0|
D|M65.8|MF|0.0|
D|M65.9|MF|0.0|
D|M75.0|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|M75.1|MEDICINA FISICA Y REHABILITACION|2.0|
D|M75.2|MEDICINA FISICA Y REHABILITACION|1.0|
D|M75.3|MEDICINA FISICA Y REHABILITACION|2.0|
D|M75.4|MEDICINA FISICA Y REHABILITACION|1.0|
D|M75.5|MEDICINA FISICA Y REHABILITACION|2.0|
D|M75.8|MF|0.0|
D|M75.9|MF|0.0|
D|M77.0|MEDICINA FISICA Y REHABILITACION|1.0|
D|M77.1|MEDICINA FISICA Y REHABILITACION|2.0|
D|M77.2|REUMATOLOGIA|2.0|
D|M77.3|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|M77.4|MG|0.0|
D|M77.5|MF|0.0|
D|M77.8|MF|0.0|
D|M77.9|MF|0.0|
D|M79.0|MG|0.0|
D|M79.1|MG|0.0|
D|M79.2|NEUROLOGIA|2.0|
D|M79.3|MF|0.0|
D|M79.4|MEDICINA INTERNA|1.0|
D|M79.5|CIRUGIA GENERAL|1.0|
D|M79.6|MG|0.0|
D|M79.7|MF|0.0|
D|M79.8|MF|0.0|
D|M79.9|MF|0.0|
D|M81.0|MF|0.0|
D|M81.1|MF|0.0|
D|M81.2|MF|0.0|
D|M81.4|REUMATOLOGIA|2.0|
