Grupo Etario A|CIE-10|_resultado|_k|Unnamed: 4
D|Z03.9|MF|0.0|
D|Z10.0|MF|0.0|
D|Z10.1|MG|0.0|
D|Z10.2|MF|0.0|
D|Z10.3|MF|0.0|
D|Z10.8|MG|0.0|
D|Z12.0|MG|0.0|
D|Z12.1|MG|0.0|
D|Z12.2|NEUMOLOGIA|2.0|
D|Z12.3|MG|0.0|
D|Z12.4|GINECOLOGIA Y OBSTETRICIA|1.0|
D|Z12.5|MG|0.0|
D|Z12.6|UROLOGIA GENERAL|1.0|
D|Z13.1|MF|0.0|
D|Z13.3|PSIQUIATRIA|2.0|
D|Z13.6|CARDIOLOGIA|2.0|
D|Z13.7|MF|0.0|
D|Z13.9|MF|0.0|
D|Z20.0|MF|0.0|
D|Z20.1|MF|0.0|
D|Z20.2|MF|0.0|
D|Z20.6|MF|0.0|
D|Z20.8|MF|0.0|
D|Z20.9|MF|0.0|
D|Z30.0|MF|0.0|
D|Z30.1|GINECOLOGIA Y OBSTETRICIA|1.0|
D|Z30.2|GINECOLOGIA Y OBSTETRICIA|1.0|
D|Z30.3|GINECOLOGIA Y OBSTETRICIA|1.0|
D|Z30.4|MF|0.0|
D|Z30.5|GINECOLOGIA Y OBSTETRICIA|1.0|
D|Z30.8|MF|0.0|
D|Z30.9|MF|0.0|
D|Z34.0|MF|0.0|
D|Z34.8|MF|0.0|
D|Z34.9|MF|0.0|
D|Z35.0|GINECOLOGIA Y OBSTETRICIA|1.0|
D|Z35.1|GINECOLOGIA Y OBSTETRICIA|1.0|
D|Z35.2|GINECOLOGIA Y OBSTETRICIA|1.0|
D|Z35.3|GINECOLOGIA Y OBSTETRICIA|1.0|
D|Z35.4|GINECOLOGIA Y OBSTETRICIA|1.0|
D|Z35.5|GINECOLOGIA Y OBSTETRICIA|1.0|
D|Z35.6|GINECOLOGIA Y OBSTETRICIA|1.0|
D|Z35.8|GINECOLOGIA Y OBSTETRICIA|1.0|
D|Z35.9|GINECOLOGIA Y OBSTETRICIA|1.0|
D|Z48.0|MG|0.0|
D|Z48.8|MF|0.0|
D|Z48.9|MF|0.0|
D|Z51.4|MG|0.0|
D|Z51.8|MG|0.0|
D|Z51.9|MG|0.0|
D|Z53.0|MG|0.0|
D|Z53.1|MG|0.0|
D|Z53.2|MG|0.0|
D|Z54.0|MF|0.0|
D|Z54.4|MEDICINA FISICA Y REHABILITACION|1.0|
D|Z54.7|MG|0.0|
D|Z54.8|MG|0.0|
D|Z54.9|MG|0.0|
D|Z71.0|MG|0.0|
D|Z71.1|MG|0.0|
D|Z71.2|MG|0.0|
D|Z71.3|MF|0.0|
D|Z71.4|MF|0.0|
D|Z71.7|MF|0.0|
D|Z71.8|MG|0.0|
D|Z71.9|MG|0.0|
D|Z75.0|MG|0.0|
D|Z75.1|MG|0.0|
D|Z75.2|MG|0.0|
D|Z75.3|MG|0.0|
D|Z75.4|MG|0.0|
D|Z75.8|MG|0.0|
D|Z75.9|MG|0.0|
