Grupo Etario A|CIE-10|_resultado|_k|Unnamed: 4
C|K29.0|GASTROENTEROLOGIA|1.0|
C|K29.1|MG|0.0|
C|K29.3|GASTROENTEROLOGIA|2.0|
C|K29.4|GASTROENTEROLOGIA|1.0|
C|K29.5|GASTROENTEROLOGIA|2.0|
C|K29.6|GASTROENTEROLOGIA|2.0|
C|K29.7|GASTROENTEROLOGIA|2.0|
C|K29.9|GASTROENTEROLOGIA|2.0|
C|K40.0|CIRUGIA GENERAL|1.0|
C|K40.2|CIRUGIA GENERAL|1.0|
C|K40.3|CIRUGIA GENERAL|1.0|
C|K40.4|CIRUGIA GENERAL|1.0|
C|K40.9|CIRUGIA GENERAL|1.0|
C|K59.0|MG|0.0|
C|K59.1|GASTROENTEROLOGIA|2.0|
C|K59.2|GASTROENTEROLOGIA|1.0|
C|K59.3|GASTROENTEROLOGIA|2.0|
C|K59.8|GASTROENTEROLOGIA|2.0|
C|K59.9|GASTROENTEROLOGIA|1.0|
C|K80.0|CIRUGIA GENERAL|1.0|
C|K80.1|CIRUGIA GENERAL|1.0|
C|K80.2|CIRUGIA GENERAL|1.0|
C|K80.3|CIRUGIA GENERAL|1.0|
C|K80.4|CIRUGIA GENERAL|1.0|
C|K80.5|CIRUGIA GENERAL|1.0|
C|K80.8|CIRUGIA GENERAL|1.0|
C|K81.0|CIRUGIA GENERAL|1.0|
C|K81.1|CIRUGIA GENERAL|1.0|
C|K81.8|CIRUGIA GENERAL|1.0|
C|K81.9|CIRUGIA GENERAL|1.0|
C|L02.0|CIRUGIA GENERAL|1.0|
C|L02.1|CIRUGIA GENERAL|1.0|
C|L02.2|CIRUGIA GENERAL|1.0|
C|L02.3|CIRUGIA GENERAL|1.0|
C|L02.4|CIRUGIA GENERAL|1.0|
C|L02.8|CIRUGIA GENERAL|1.0|
C|L02.9|CIRUGIA GENERAL|1.0|
C|L03.0|MF|0.0|
C|L03.1|MF|0.0|
C|L03.2|MF|0.0|
C|L03.3|MF|0.0|
C|L03.8|MF|0.0|
C|L03.9|MF|0.0|
C|L20.0|DERMATOLOGIA|2.0|
C|L20.8|DERMATOLOGIA|3.0|
C|L20.9|MF|0.0|
C|L21.0|DERMATOLOGIA|2.0|
C|L21.8|DERMATOLOGIA|3.0|
C|L21.9|DERMATOLOGIA|2.0|
C|L30.0|DERMATOLOGIA|2.0|
C|L30.1|DERMATOLOGIA|2.0|
C|L30.3|MF|0.0|
C|L30.4|DERMATOLOGIA|1.0|
C|L30.5|MF|0.0|
C|L30.8|MF|0.0|
C|L30.9|MF|0.0|
C|L50.0|MF|0.0|
C|L50.1|DERMATOLOGIA|1.0|
C|L50.3|MF|0.0|
C|L50.6|MF|0.0|
C|L50.8|MG|0.0|
C|L50.9|MG|0.0|
C|L70.0|DERMATOLOGIA|2.0|
C|L70.1|DERMATOLOGIA|1.0|
C|L70.2|DERMATOLOGIA|1.0|
C|L70.3|DERMATOLOGIA|1.0|
C|L70.5|DERMATOLOGIA|1.0|
C|L70.8|MF|0.0|
C|L70.9|MF|0.0|
C|M23.0|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|M23.1|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|M23.2|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|M23.3|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|M23.5|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|M23.6|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|M23.8|ORTOPEDIA Y TRAUMATOLOGIA|2.0|
